115|green circle position: 639px |2024-12-26 16:06:20.438248
116|red circle position:  362px|2024-12-26 16:06:20.439251
118|red circle position:  357px|2024-12-26 16:06:20.467249
117|green circle position: 644px |2024-12-26 16:06:20.467249
119|green circle position: 649px |2024-12-26 16:06:20.497433
120|red circle position:  352px|2024-12-26 16:06:20.498432
122|red circle position:  347px|2024-12-26 16:06:20.527435
121|green circle position: 654px |2024-12-26 16:06:20.527435
124|red circle position:  342px|2024-12-26 16:06:20.557442

125|green circle position: 664px |2024-12-26 16:06:20.588373
126|red circle position:  337px|2024-12-26 16:06:20.588373
128|red circle position:  332px|2024-12-26 16:06:20.618383
127|green circle position: 669px |2024-12-26 16:06:20.618383
129|green circle position: 674px |2024-12-26 16:06:20.649382
130|red circle position:  327px|2024-12-26 16:06:20.649382
131|green circle position: 679px |2024-12-26 16:06:20.678383
132|red circle position:  322px|2024-12-26 16:06:20.678383
134|red circle position:  317px|2024-12-26 16:06:20.708398
133|green circle position: 684px |2024-12-26 16:06:20.708398
136|red circle position:  312px|2024-12-26 16:06:20.738434

137|green circle position: 694px |2024-12-26 16:06:20.768461
138|red circle position:  307px|2024-12-26 16:06:20.768461
139|green circle position: 699px |2024-12-26 16:06:20.798458
140|red circle position:  302px|2024-12-26 16:06:20.798458
141|green circle position: 704px |2024-12-26 16:06:20.828793
142|red circle position:  297px|2024-12-26 16:06:20.828793
143|green circle position: 709px |2024-12-26 16:06:20.856787
144|red circle position:  292px|2024-12-26 16:06:20.856787
145|green circle position: 714px |2024-12-26 16:06:20.888787
146|red circle position:  287px|2024-12-26 16:06:20.888787
147|green circle position: 719px |2024-12-26 16:06:20.918748
148|red circle position:  282px|2024-12-26 16:06:20.918748
150|red circle position:  277px|2024-12-26 16:06:20.948248

151|green circle position: 729px |2024-12-26 16:06:20.978266
152|red circle position:  272px|2024-12-26 16:06:20.978266
154|red circle position:  267px|2024-12-26 16:06:21.008276

156|red circle position:  262px|2024-12-26 16:06:21.038276
155|green circle position: 739px |2024-12-26 16:06:21.038276
157|green circle position: 744px |2024-12-26 16:06:21.068277
158|red circle position:  257px|2024-12-26 16:06:21.068277
159|green circle position: 749px |2024-12-26 16:06:21.098277
160|red circle position:  252px|2024-12-26 16:06:21.098277
161|green circle position: 754px |2024-12-26 16:06:21.129278
162|red circle position:  247px|2024-12-26 16:06:21.129278
163|green circle position: 759px |2024-12-26 16:06:21.157277
164|red circle position:  242px|2024-12-26 16:06:21.157277
165|green circle position: 764px |2024-12-26 16:06:21.188277
166|red circle position:  237px|2024-12-26 16:06:21.188277
167|green circle position: 769px |2024-12-26 16:06:21.218276
168|red circle position:  232px|2024-12-26 16:06:21.218276
170|red circle position:  227px|2024-12-26 16:06:21.248277
169|green circle position: 774px |2024-12-26 16:06:21.248277
172|red circle position:  222px|2024-12-26 16:06:21.278278

173|green circle position: 784px |2024-12-26 16:06:21.309148
175|green circle position: 789px |2024-12-26 16:06:21.338226
176|red circle position:  212px|2024-12-26 16:06:21.338226
177|green circle position: 794px |2024-12-26 16:06:21.364061
179|green circle position: 799px |2024-12-26 16:06:21.398514
180|red circle position:  202px|2024-12-26 16:06:21.398514
181|green circle position: 804px |2024-12-26 16:06:21.428327
184|red circle position:  192px|2024-12-26 16:06:21.458326
183|green circle position: 809px |2024-12-26 16:06:21.458326
185|green circle position: 814px |2024-12-26 16:06:21.488325
186|red circle position:  187px|2024-12-26 16:06:21.488325
187|green circle position: 819px |2024-12-26 16:06:21.519326
188|red circle position:  182px|2024-12-26 16:06:21.519326
189|green circle position: 824px |2024-12-26 16:06:21.549326
190|red circle position:  177px|2024-12-26 16:06:21.549326
192|red circle position:  172px|2024-12-26 16:06:21.579327
191|green circle position: 829px |2024-12-26 16:06:21.579327
193|green circle position: 834px |2024-12-26 16:06:21.608325
194|red circle position:  167px|2024-12-26 16:06:21.608325
195|green circle position: 839px |2024-12-26 16:06:21.637356
197|green circle position: 844px |2024-12-26 16:06:21.669128
199|green circle position: 849px |2024-12-26 16:06:21.698128
200|red circle position:  152px|2024-12-26 16:06:21.698128
201|green circle position: 854px |2024-12-26 16:06:21.728789
202|red circle position:  147px|2024-12-26 16:06:21.728789
203|green circle position: 859px |2024-12-26 16:06:21.757780
204|red circle position:  142px|2024-12-26 16:06:21.757780
205|green circle position: 864px |2024-12-26 16:06:21.789780
206|red circle position:  137px|2024-12-26 16:06:21.789780
